,class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
27,2,3,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,3,3
28,2,4,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,6,5
29,2,3,4,10,1,1,3,2,2,2,2,1,4,4,8,8,1,3,2,7,2,5,7
30,2,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,3
31,1,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,4,5
32,2,3,3,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,3,3
33,2,3,3,1,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,7,2,6,4
34,2,1,3,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,3
35,2,3,1,10,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,7,2,5,7
36,2,6,1,4,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,5,5
37,1,3,3,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,7,2,4,5
38,2,3,1,10,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,7,2,5,7
39,2,1,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,4,3
40,2,1,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,1
41,2,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,7,1,6,4
42,2,3,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,7,1,6,5
43,1,3,3,9,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,7,2,5,1
44,2,3,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,3,3
45,2,3,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,3,1
46,2,3,3,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,4,3
47,2,3,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,3,3
48,2,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,7,2,4,4
49,2,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,4,4
50,2,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,4,1
51,2,3,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,4,1
52,2,1,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,3,3
53,1,3,3,1,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,5,5
54,1,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,5,5
55,2,1,3,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,4,3
56,2,4,1,4,2,7,3,2,1,2,2,4,4,4,8,8,1,3,2,2,2,1,1
57,2,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,3,1
58,2,3,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,3,1
59,2,3,3,1,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,7,1,6,4
60,2,6,1,4,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,5,5
61,2,1,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,4,3
62,2,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,3
63,2,1,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,3
64,2,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,1
65,2,4,4,1,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,1,1,1
66,2,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,4,1
67,2,4,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,7,2,4,1
68,2,3,3,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,3,1
69,2,3,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,7,2,5,5
70,2,4,1,10,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,7,2,5,7
71,2,1,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,3
72,2,4,1,10,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,7,2,5,7
73,2,3,3,1,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,7,1,4,4
74,2,1,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,4,1
75,2,4,4,10,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,7,2,5,7
76,2,3,4,9,1,2,3,2,2,2,2,1,4,4,8,8,1,3,2,7,7,5,7
77,2,4,3,1,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,7,2,6,4
78,1,3,3,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,7,2,5,5
79,2,4,3,1,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,7,2,6,1
80,2,3,4,1,2,7,3,2,1,1,2,4,1,4,8,8,1,3,2,2,2,4,1
81,1,3,3,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,7,1,4,1
82,2,4,1,4,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,7,2,6,5
83,2,3,1,4,2,7,3,2,1,2,2,4,4,4,8,8,1,3,2,2,2,4,1
84,2,3,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,4,1
85,2,3,4,1,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,1,4,1
86,2,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,4,1
87,2,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,1
88,2,4,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,6,1
89,2,6,1,1,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,7,2,5,5
90,2,3,1,1,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,7,2,6,5
91,2,1,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,4,1
92,2,3,3,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,4,1
93,2,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,3,3
94,2,3,4,1,2,7,3,2,1,2,2,4,4,4,8,8,1,3,2,2,2,1,1
95,2,3,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,1
96,2,4,3,1,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,7,2,4,1
97,2,3,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,3,1
98,2,1,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,1
99,2,3,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,4,1
100,2,3,1,1,2,7,3,2,1,8,2,4,1,4,8,8,1,3,2,2,1,4,1
101,2,1,4,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,3,1
102,2,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,7,2,4,1
103,2,3,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,7,1,6,4
104,2,1,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,1
105,2,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,3,3
106,2,3,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,7,2,6,1
107,2,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,4,3
108,2,1,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,3
109,2,3,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,3,3
110,2,3,4,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,3,1
111,2,6,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,7,1,6,5
112,2,3,1,9,1,1,3,2,2,11,2,1,4,4,8,8,1,3,2,7,7,5,7
113,2,3,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,3,3
114,1,3,3,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,7,2,5,5
115,2,3,3,10,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,7,2,4,1
116,2,6,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,7,2,6,5
117,2,3,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,6,1
118,2,3,4,10,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,7,7,5,7
119,2,6,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,6,5
120,1,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,5,1
121,2,3,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,3
122,1,4,3,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,7,1,5,1
123,2,4,4,4,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,1,1
124,2,3,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,3
125,2,3,4,9,2,7,3,2,1,2,2,4,4,1,8,8,1,3,2,2,1,4,1
126,2,1,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,3,1
127,2,4,1,4,2,7,3,2,1,4,2,4,4,4,8,8,1,3,2,2,2,1,1
128,2,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,3,1
129,2,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,3
130,2,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,4,1
131,2,1,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,4,3
132,2,4,4,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,7,7,5,7
133,2,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,4,3
134,2,4,4,9,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,7,2,5,7
135,1,3,3,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,7,2,5,5
136,2,4,1,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,7,2,5,7
137,2,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,1
138,1,3,4,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,7,2,5,1
139,2,1,4,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,3,1
140,2,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,6,4
141,2,1,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,3,3
142,2,6,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,5,5
143,2,4,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,6,4
144,2,3,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,3,1
145,2,3,1,4,2,7,3,2,1,1,2,4,1,1,8,8,1,3,2,2,1,4,1
146,2,4,1,9,2,7,3,2,1,1,2,4,4,1,8,8,1,3,2,2,2,1,1
147,2,3,3,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,3,3
148,2,1,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,3,1
149,2,1,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,3,3
150,2,3,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,4,1
151,2,3,4,1,2,7,3,2,1,8,2,4,1,4,8,8,1,3,2,2,2,1,1
152,2,3,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,1
153,2,6,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,5,5
154,2,3,4,9,1,1,3,2,2,11,2,1,4,4,8,8,1,3,2,7,7,5,7
155,2,3,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,4,1
156,2,1,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,3,1
157,2,3,3,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,3,1
158,2,1,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,4,3
159,2,1,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,4,1
160,2,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,4,3
161,2,1,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,3,1
162,2,3,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,6,5
163,2,4,3,1,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,7,2,6,1
164,2,3,3,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,4,1
165,2,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,7,2,6,4
166,2,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,4,1
167,2,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,4,3
168,2,3,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,6,1
169,2,1,4,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,4,1
170,2,3,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,7,2,6,5
171,2,1,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,4,1
172,2,3,1,10,1,2,3,2,2,2,2,1,4,4,8,8,1,3,2,7,7,5,7
173,2,1,3,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,4,1
174,2,4,3,10,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,7,2,4,1
175,2,1,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,3,3
176,2,1,3,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,3,3
177,2,1,3,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,1
178,2,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,3
179,2,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,1
180,1,3,3,9,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,7,2,5,5
181,2,6,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,7,2,6,5
182,2,4,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,7,1,5,5
183,2,3,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,3
184,2,4,3,1,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,7,1,4,4
185,1,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,4,1
186,2,1,4,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,3
187,2,4,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,7,1,5,5
188,2,1,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,1
189,2,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,7,2,6,4
190,2,3,1,9,2,7,3,2,1,8,2,4,4,1,8,8,1,3,2,2,1,4,1
191,2,3,4,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,7,2,5,7
192,2,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,4,3
193,2,4,4,10,1,1,3,2,2,11,2,1,4,4,8,8,1,3,2,7,2,5,7
194,2,3,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,3,3
195,2,4,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,7,2,6,5
196,2,1,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,4,1
197,2,3,4,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,3
198,2,3,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,3
199,2,4,4,9,1,1,3,2,2,2,2,1,4,4,8,8,1,3,2,7,2,5,7
200,2,3,3,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,4,1
201,2,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,4,1
202,2,3,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,3,1
203,2,3,1,9,2,7,3,2,1,4,2,4,1,4,8,8,1,3,2,2,1,4,1
204,2,4,3,1,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,7,1,6,4
205,1,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,5,5
206,2,1,4,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,3,1
207,2,1,4,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,4,3
208,2,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,3,1
209,2,1,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,3,1
210,2,3,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,4,1
211,2,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,3,3
212,2,3,1,10,1,1,3,2,2,2,2,1,4,4,8,8,1,3,2,7,2,5,7
213,2,3,1,4,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,7,2,6,5
214,2,4,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,7,2,4,1
215,2,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,3,3
216,2,3,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,4,1
217,2,3,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,4,1
218,2,3,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,4,1
219,2,6,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,7,2,5,5
220,2,3,4,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,3,3
221,1,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,4,1
222,2,3,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,7,2,4,1
223,2,4,1,9,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,7,2,5,7
224,2,3,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,3,3
225,2,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,4,1
226,2,3,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,1
227,2,3,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,1
228,1,3,3,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,7,1,5,5
229,2,1,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,3,1
230,2,3,1,4,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,7,1,6,5
231,1,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,4,5
232,2,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,7,2,6,4
233,2,4,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,5,5
234,2,1,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,3,1
235,2,3,1,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,7,2,5,7
236,2,3,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,4,1
237,2,1,3,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,1
238,2,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,7,1,4,1
239,2,4,3,10,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,7,1,4,4
240,2,4,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,6,4
241,2,3,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,4,1
242,2,3,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,3,3
243,1,3,4,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,7,1,5,5
244,2,4,1,9,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,7,7,5,7
245,2,3,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,4,1
246,2,3,4,9,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,7,7,5,7
247,2,3,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,4,3
248,2,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,7,1,6,4
249,2,3,4,1,2,7,3,2,1,8,2,4,1,4,8,8,1,3,2,2,1,4,1
250,2,4,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,7,2,6,1
251,1,3,4,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,7,2,4,1
252,2,6,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,7,2,5,5
253,2,1,3,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,4,3
254,2,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,1
255,2,1,3,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,3,3
256,2,4,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,7,2,5,5
257,2,3,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,1,3,3
258,2,1,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,7,1,3,1
259,2,1,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,3,3
260,2,4,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,7,2,4,1
261,1,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,7,1,5,1
262,2,3,4,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,3,1
263,2,3,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,4,3
264,2,4,1,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,7,7,5,7
265,2,4,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,7,1,5,5
266,2,4,4,4,2,7,3,2,1,8,2,4,4,4,8,8,1,3,2,2,1,1,1
267,2,3,3,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,7,2,4,3
268,2,1,4,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,4,3
269,1,4,3,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,7,1,4,5
270,2,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,3,3
271,1,4,4,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,7,1,5,5
272,2,3,3,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,4,1
273,2,3,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,3,3
274,2,4,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,7,2,4,4
275,2,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,7,2,4,4
276,2,4,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,7,2,6,1
277,2,3,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,7,2,3,3
278,2,4,1,1,2,7,3,2,1,4,2,4,4,4,8,8,1,3,2,2,1,4,1
279,2,3,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,2,3,3
280,1,3,3,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,7,2,4,1
281,2,1,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,7,2,3,3
282,2,6,1,1,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,7,2,5,5
283,2,3,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,7,1,4,3
284,2,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,7,1,3,3
